,keywords,question_text,y_pred
0,['equations']," Write the expression $expression in a simpler form, if possible. If it is not possible to simplify, re-write the given expression.   \{ ans_rule(20) \} \{ AnswerFormatHelp(""formula"") \} ",[]
1,"['trigonometric substitution', 'integration by parts', 'integration', 'substitution']"," $PAR Using disks or washers, find the volume of the solid obtained by rotating the region bounded by the curves \(y=x^2,\) \(x=$a,\) and \(y=0\) about the \(x\)-axis.  $PAR Volume = \{ans_rule(30)\} ","['substitution', 'integration']"
2,['algebra'],"The vertex of the parabola defined by \[f(x) = x^2+4x\] is the point   (  \{ ans_rule(5) \}, EOT  ANS(num_cmp(-2));  TEXT(EV2(<<EOT));   \{ ans_rule(5) \} ). EOT  ANS(num_cmp(-4));   SOLUTION(EV3(<<'EOT'));   $BBOLD Solution:$EBOLD  We have \[f(x) = x^2+4x+4 = (x+2)^2-4\] and so the vertex is the point \((-2,-4)\).",[]
3,"['cylindrical shells', 'integration']","$PAR END_TEXT  # Make a new checkbox multiple choice $cmc = new_checkbox_multiple_choice();  # Insert some  questions and matching answers in the q/a list. $cmc -> qa ( 	""Which of the following integrals represents the volume of the solid obtained by rotating the region bounded by the curves \(y=x\) and \(y=4x-x^2\) about the line \(x=$a\,?\)"",         ""\( \displaystyle \int_{0}^{\,3} {2 \pi ($a-x) \left[(4x-x^2)-x\right]}\,dx \)"",         );  # Insert some incorrect answers $cmc -> extra(         ""\( \displaystyle \int_{0}^{\,3} {2 \pi (x-$a) \left[(4x-x^2)-x\right]}\,dx \)"",         ""\( \displaystyle \int_{0}^{\,3} {2 \pi ($a-x) \left[x-(4x-x^2)\right]}\,dx \)"",         ""\( \displaystyle \int_{0}^{\,4} {2 \pi ($a-x) \left[(4x-x^2)-x\right]}\,dx \)"",         ""\( \displaystyle \int_{0}^{\,4} {2 \pi (x-$a) \left[(4x-x^2)-x\right]}\,dx \)"",         ""\( \displaystyle \int_{0}^{\,4} {2 \pi ($a-x) \left[x-(4x-x^2)\right]}\,dx \)"",         );  # Print the text using $cmc->print_q for the questions and # $cmc->print_a to print the answers.  BEGIN_TEXT $PAR \{$cmc -> print_q \} $PAR \{$cmc -> print_a \} $PAR","['cylindrical shells', 'integration', 'volumes']"
4,"['calculus', 'derivatives', 'lhospitals rule', 'indeterminant forms', 'lhopitals rule', 'derivative']",Evaluate the following limit using L'Hospital's rule where appropriate.  \[ \lim_{ x \rightarrow 0 } \frac{\sin($a x)}{\tan ($b x)} \]  Answer: \{ans_rule(25) \} ,"['derivatives', 'lhopitals rule', 'indeterminant forms']"
5,"['combination', 'algebra']","An algebra class has $kids students and $kids desks.  For the sake of variety,  students change the seating arrangement each day.  How many days must pass  before the class must repeat a seating arrangement?   \{ans_rule(15)\} days must pass before a seating arrangement is repeated.   Suppose the desks are arranged in rows of 4.  How many seating arrangements are there that put Larry, Moe, Curly, and Shemp in the front seats?  There are \{ans_rule(15)\} seating arrangements that put them in the front  seats.   What is the probability that Larry, Moe, Curly and Shemp are sitting in the  front seats?  The probability is \{ans_rule(15)\}. ",['probability']
6,['linear equations system']," Determine whether the following system has no solution, an infinite number of solutions or a unique solution.     \{ $tf -> print_q \} ",['linear equations system']
7,"['function', 'composition of functions', 'domain', 'algebra']","$BBOLD If the answer is \(\infty\), input infinity;  if the answer is \(-\infty\), input -infinity.  Use abs(x) for \( |x| \). $EBOLD  Given that \(f(x)=|x ? {$c}|\) and \(g(x)=$a x ? {$b}\), calculate   (a) \( f\circ g(x) \)= \{ans_rule(15)\},      its domain is (\{ans_rule(15)\}, \{ans_rule(15)\})     (b) \( g\circ f(x) \)= \{ans_rule(15)\} ,     its domain is (\{ans_rule(15)\}, \{ans_rule(15)\})     (c) \(f\circ f(x)\)= \{ans_rule(15)\},     its domain is (\{ans_rule(15)\}, \{ans_rule(15)\})     (d) \(g\circ g(x)\)= \{ans_rule(15)\},     its domain is (\{ans_rule(15)\}, \{ans_rule(15)\})       ","['algebra', 'function']"
8,"['graph', 'hamilton']",$PAR \{ Plot($pic) \}  $PAR Consider the graph given above. Use the sorted edges algorithm to find a Hamiltonian circuit.  $PAR a. List the weights of the edges separated by commas in the Hamiltonian  circuit in the order they are chosen as specified by the algorithm.  $PAR \{ ans_rule(20) \}  $PAR b. What is the total weight along the Hamiltonian circuit? $PAR \{ ans_rule(5) \}  ,"['graph', 'hamilton']"
9,"['calculus', 'limits', 'vector', 'limit', 'vector limit', 'multivariable']","$PAR Find the limit, if it exists, or type N if it does not exist. $PAR \( \displaystyle \lim_{(x, y, z) \rightarrow (0, 0, 0)} \frac{$p1 }{$p2} = \) \{ ans_rule(40) \}","['vector', 'multivariable', 'calculus', 'limit']"
